City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
198,Port Pirie,-33.1833,138.0167,46.8,73,0,3.02,AU,2022-07-13 22:39:53,clear sky
199,Dashitou,43.3067,128.5114,61.61,98,100,6.13,CN,2022-07-13 22:39:53,overcast clouds
200,Laurel,39.0993,-76.8483,90.88,56,75,6.91,US,2022-07-13 22:35:17,broken clouds
201,Flinders,-34.5833,150.8552,53.19,72,84,15.01,AU,2022-07-13 22:39:54,broken clouds
202,Urusha,54.05,122.9,63.86,94,100,4.03,RU,2022-07-13 22:39:54,overcast clouds
203,Prince Rupert,54.3161,-130.3201,55.49,88,100,23.02,CA,2022-07-13 22:39:46,overcast clouds
204,Norman Wells,65.282,-126.8329,55.44,88,100,8.05,CA,2022-07-13 22:39:55,light intensity shower rain
205,Erenhot,43.6475,111.9767,69.69,43,60,5.28,CN,2022-07-13 22:39:55,broken clouds
206,Moyale,3.5167,39.0584,66.76,71,74,12.73,KE,2022-07-13 22:39:56,broken clouds
207,Abu Dhabi,24.4667,54.3667,98.71,57,0,4.61,AE,2022-07-13 22:39:56,clear sky
208,Kaitangata,-46.2817,169.8464,44.13,88,100,8.43,NZ,2022-07-13 22:39:56,overcast clouds
209,Qaqortoq,60.7167,-46.0333,44.85,79,100,4.99,GL,2022-07-13 22:39:57,overcast clouds
210,Nizhnyaya Salda,58.0776,60.7202,68.0,82,97,2.93,RU,2022-07-13 22:39:57,overcast clouds
211,Bukama,-9.2,25.85,70.14,47,2,2.82,CD,2022-07-13 22:39:58,clear sky
212,Soltsy,58.1239,30.3238,55.09,85,55,4.59,RU,2022-07-13 22:39:58,broken clouds
213,Olivet,47.8622,1.8991,77.18,50,0,8.05,FR,2022-07-13 22:39:58,clear sky
214,Bilma,18.6853,12.9164,90.3,17,14,2.57,NE,2022-07-13 22:39:59,few clouds
215,Banposh,22.25,84.8,79.05,88,39,8.88,IN,2022-07-13 22:39:59,scattered clouds
216,Svetlaya,46.5389,138.3297,62.47,99,100,5.01,RU,2022-07-13 22:40:00,overcast clouds
217,Northam,51.0333,-4.2167,60.62,76,93,12.93,GB,2022-07-13 22:40:00,overcast clouds
